Sample in Buffer,Sample in Window,TRIGGER,staged_mac_bd_i/system_ila_0/inst/net_slot_0_axis_tdata[31:0],staged_mac_bd_i/system_ila_0/inst/net_slot_0_axis_tid[7:0],staged_mac_bd_i/system_ila_0/inst/net_slot_0_axis_tvalid,staged_mac_bd_i/system_ila_0/inst/net_slot_0_axis_tready,staged_mac_bd_i/system_ila_0/inst/net_slot_0_axis_tlast,staged_mac_bd_i/system_ila_0/inst/net_slot_1_axis_tdata[31:0],staged_mac_bd_i/system_ila_0/inst/net_slot_1_axis_tid[7:0],staged_mac_bd_i/system_ila_0/inst/net_slot_1_axis_tvalid,staged_mac_bd_i/system_ila_0/inst/net_slot_1_axis_tready,staged_mac_bd_i/system_ila_0/inst/net_slot_1_axis_tlast,staged_mac_bd_i/system_ila_0/inst/net_slot_2_axis_tdata[15:0],staged_mac_bd_i/system_ila_0/inst/net_slot_2_axis_tid[7:0],staged_mac_bd_i/system_ila_0/inst/net_slot_2_axis_tvalid,staged_mac_bd_i/system_ila_0/inst/net_slot_2_axis_tready,staged_mac_bd_i/system_ila_0/inst/net_slot_2_axis_tlast,staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_ar_cnt[1:0],staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_araddr[31:0],staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_aw_cnt[1:0],staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_awaddr[31:0],staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_b_cnt[1:0],staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_bresp[1:0],staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_r_cnt[1:0],staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_rdata[31:0],staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_rresp[1:0],staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_wdata[31:0],staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_wstrb[3:0],staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_aw_ctrl[1:0],staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_awvalid,staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_awready,staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_wvalid,staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_w_ctrl[1:0],staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_wready,staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_bvalid,staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_b_ctrl[1:0],staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_bready,staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_ar_ctrl[1:0],staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_arvalid,staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_arready,staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_r_ctrl[1:0],staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_rvalid,staged_mac_bd_i/system_ila_0/inst/net_slot_3_axi_rready,AR_Channel_(i1:s3)_(ps7_0_axi_periph_M00_AXI)[2:0],AW_Channel_(i1:s3)_(ps7_0_axi_periph_M00_AXI)[2:0],B_Channel_(i1:s3)_(ps7_0_axi_periph_M00_AXI)[2:0],Interface_(i1:s0)_(staged_mac_0_MO_AXIS)[2:0],Interface_(i1:s1)_(axi_fifo_mm_s_0_AXI_STR_TXD)[2:0],Interface_(i1:s2)_(axis_subset_converter_0_M_AXIS)[2:0],Interface_(i1:s3)_(ps7_0_axi_periph_M00_AXI)[2:0],R_Channel_(i1:s3)_(ps7_0_axi_periph_M00_AXI)[2:0],T_Channel_(i1:s0)_(staged_mac_0_MO_AXIS)[2:0],T_Channel_(i1:s1)_(axi_fifo_mm_s_0_AXI_STR_TXD)[2:0],T_Channel_(i1:s2)_(axis_subset_converter_0_M_AXIS)[2:0],W_Channel_(i1:s3)_(ps7_0_axi_periph_M00_AXI)[2:0],slot_3___ps7_0_axi_periph_M00_AXI___Read_Transactions_0[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c0001c,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,3,1,1,2,0,1,"Addr Cmd","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","Active","_","No Streams","No Streams","No Streams","No Write Data Beats","Read (ID:0 Addr:0x43c0001c)"
1,1,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,1,43c00020,0,43c00018,0,"OKAY",1,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,0,0,0,3,1,1,"_","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","Active","Last Data","No Streams","No Streams","No Streams","No Write Data Beats","Read (ID:0 Addr:0x43c0001c)"
2,2,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c00020,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,"_","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","_","_","No Streams","No Streams","No Streams","No Write Data Beats","_"
3,3,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c00020,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,"_","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","_","_","No Streams","No Streams","No Streams","No Write Data Beats","_"
4,4,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c00020,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,"_","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","_","_","No Streams","No Streams","No Streams","No Write Data Beats","_"
5,5,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c00020,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,"_","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","_","_","No Streams","No Streams","No Streams","No Write Data Beats","_"
6,6,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c00020,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,"_","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","_","_","No Streams","No Streams","No Streams","No Write Data Beats","_"
7,7,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c00020,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,"_","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","_","_","No Streams","No Streams","No Streams","No Write Data Beats","_"
8,8,0,ffffff7c,00,0,1,0,00001bbb,00,0,1,1,1bbb,00,0,1,1,0,43c00020,0,43c00018,0,"OKAY",0,00000000,"OKAY",0000012c,f,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,"_","No Write Addr Cmds","No Write Responses","Inactive","Inactive","Inactive","_","_","No Streams","No Streams","No Streams","No Write Data Beats","_"
