Sample in Buffer,Sample in Window,TRIGGER,staged_mac_bd_i/system_ila_0/inst/net_slot_0_axis_tdata[31:0],staged_mac_bd_i/system_ila_0/inst/net_slot_0_axis_tid[7:0],staged_mac_bd_i/system_ila_0/inst/net_slot_0_axis_tvalid,staged_mac_bd_i/system_ila_0/inst/net_slot_0_axis_tready,staged_mac_bd_i/system_ila_0/inst/net_slot_0_axis_tlast,staged_mac_bd_i/system_ila_0/inst/net_slot_1_axis_tdata[31:0],staged_mac_bd_i/system_ila_0/inst/net_slot_1_axis_tid[7:0],staged_mac_bd_i/system_ila_0/inst/net_slot_1_axis_tvalid,staged_mac_bd_i/system_ila_0/inst/net_slot_1_axis_tready,staged_mac_bd_i/system_ila_0/inst/net_slot_1_axis_tlast,Interface_(i1:s0)_(axi_fifo_mm_s_0_AXI_STR_TXD)[2:0],Interface_(i1:s1)_(piped_mac_0_MO_AXIS)[2:0],T_Channel_(i1:s0)_(axi_fifo_mm_s_0_AXI_STR_TXD)[2:0],T_Channel_(i1:s1)_(piped_mac_0_MO_AXIS)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,be27eb3d,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
1,1,0,be27eb3d,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
2,2,0,be27eb3d,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
3,3,0,be27eb3d,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
4,4,0,be27eb3d,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
5,5,0,be27eb3d,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
6,6,0,be27eb3d,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
7,7,0,be27eb3d,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
8,8,0,3ca0a0a1,00,1,1,0,00000000,00,0,1,0,"Active","_","Stream Beat","_"
9,9,0,3ca0a0a1,00,0,0,0,00000000,00,0,1,0,"_","_","_","_"
10,10,0,3ca0a0a1,00,0,0,0,00000000,00,0,1,0,"_","_","_","_"
11,11,0,3ca0a0a1,00,0,0,0,00000000,00,0,1,0,"_","_","_","_"
12,12,0,3ca0a0a1,00,0,0,0,00000000,00,0,1,0,"_","_","_","_"
13,13,0,3ca0a0a1,00,0,0,0,00000000,00,0,1,0,"_","_","_","_"
14,14,0,3ca0a0a1,00,0,0,0,00000000,00,0,1,0,"_","_","_","_"
15,15,0,3ca0a0a1,00,0,0,0,00000000,00,0,1,0,"_","_","_","_"
16,16,0,3ca0a0a1,00,0,0,0,00000000,00,0,1,0,"_","_","_","_"
17,17,0,3ca0a0a1,00,0,0,0,00000000,00,0,1,0,"_","_","_","_"
18,18,0,3ca0a0a1,00,0,0,0,00000000,00,0,1,0,"_","_","_","_"
19,19,0,3ca0a0a1,00,0,0,0,00000000,00,0,1,0,"_","_","_","_"
20,20,0,3ca0a0a1,00,0,0,0,00000000,00,0,1,0,"_","_","_","_"
21,21,0,3ca0a0a1,00,0,0,0,00000000,00,0,1,0,"_","_","_","_"
22,22,0,3ca0a0a1,00,0,0,0,00000000,00,0,1,0,"_","_","_","_"
23,23,0,3ca0a0a1,00,0,0,0,00000000,00,0,1,0,"_","_","_","_"
24,24,0,3ca0a0a1,00,0,0,0,00000000,00,0,1,0,"_","_","_","_"
25,25,0,3ca0a0a1,00,0,0,0,00000000,00,0,1,0,"_","_","_","_"
26,26,0,3ca0a0a1,00,0,0,0,00000000,00,0,1,0,"_","_","_","_"
27,27,0,3ca0a0a1,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
28,28,0,3df51172,00,1,1,0,00000000,00,0,1,0,"Active","_","Stream Beat","_"
29,29,0,3df51172,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
30,30,0,3df51172,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
31,31,0,3df51172,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
32,32,0,3df51172,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
33,33,0,3df51172,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
34,34,0,3df51172,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
35,35,0,3df51172,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
36,36,0,3df51172,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
37,37,0,3df51172,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
38,38,0,3df51172,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
39,39,0,3df51172,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
40,40,0,3df51172,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
41,41,0,3df51172,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
42,42,0,3df51172,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
43,43,0,3df51172,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
44,44,0,3df51172,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
45,45,0,3df51172,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
46,46,0,3df51172,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
47,47,0,3df51172,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
48,48,0,3df51172,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
49,49,0,3df51172,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
50,50,0,3df51172,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
51,51,0,3df51172,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
52,52,0,3df51172,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
53,53,0,3df51172,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
54,54,0,3e149495,00,1,1,0,00000000,00,0,1,0,"Active","_","Stream Beat","_"
55,55,0,3e149495,00,0,0,0,00000000,00,0,1,0,"_","_","_","_"
56,56,0,3e149495,00,0,0,0,00000000,00,0,1,0,"_","_","_","_"
57,57,0,3e149495,00,0,0,0,00000000,00,0,1,0,"_","_","_","_"
58,58,0,3e149495,00,0,0,0,00000000,00,0,1,0,"_","_","_","_"
59,59,0,3e149495,00,0,0,0,00000000,00,0,1,0,"_","_","_","_"
60,60,0,3e149495,00,0,0,0,00000000,00,0,1,0,"_","_","_","_"
61,61,0,3e149495,00,0,0,0,00000000,00,0,1,0,"_","_","_","_"
62,62,0,3e149495,00,0,0,0,00000000,00,0,1,0,"_","_","_","_"
63,63,0,3e149495,00,0,0,0,00000000,00,0,1,0,"_","_","_","_"
64,64,0,3e149495,00,0,0,0,00000000,00,0,1,0,"_","_","_","_"
65,65,0,3e149495,00,0,0,0,00000000,00,0,1,0,"_","_","_","_"
66,66,0,3e149495,00,0,0,0,00000000,00,0,1,0,"_","_","_","_"
67,67,0,3e149495,00,0,0,0,00000000,00,0,1,0,"_","_","_","_"
68,68,0,3e149495,00,0,0,0,00000000,00,0,1,0,"_","_","_","_"
69,69,0,3e149495,00,0,0,0,00000000,00,0,1,0,"_","_","_","_"
70,70,0,3e149495,00,0,0,0,00000000,00,0,1,0,"_","_","_","_"
71,71,0,3e149495,00,0,0,0,00000000,00,0,1,0,"_","_","_","_"
72,72,0,3e149495,00,0,0,0,00000000,00,0,1,0,"_","_","_","_"
73,73,0,3e149495,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
74,74,0,3d37d869,00,1,1,0,00000000,00,0,1,0,"Active","_","Stream Beat","_"
75,75,0,3d37d869,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
76,76,0,3d37d869,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
77,77,0,3d37d869,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
78,78,0,3d37d869,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
79,79,0,3d37d869,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
80,80,0,3d37d869,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
81,81,0,3d37d869,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
82,82,0,3d37d869,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
83,83,0,3d37d869,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
84,84,0,3d37d869,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
85,85,0,3d37d869,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
86,86,0,3d37d869,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
87,87,0,3d37d869,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
88,88,0,3d37d869,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
89,89,0,3d37d869,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
90,90,0,3d37d869,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
91,91,0,3d37d869,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
92,92,0,3d37d869,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
93,93,0,3d37d869,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
94,94,0,3d37d869,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
95,95,0,3d37d869,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
96,96,0,3d37d869,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
97,97,0,3d37d869,00,0,1,0,00000000,00,0,1,0,"_","_","_","_"
98,98,0,3e1c9c9d,00,1,1,0,00000000,00,0,1,0,"Active","_","Stream Beat","_"
99,99,0,3e1c9c9d,00,0,0,0,00000000,00,0,1,0,"_","_","_","_"
